instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
4	c4.2xlarge	32	60000	15150	100	10000000	477
4	c4.2xlarge	32	60000	17675	100	16000000	483
6	c4.2xlarge	48	90000	17675	100	10000000	534
6	c4.2xlarge	48	90000	12600	100	20000000	607
6	c4.2xlarge	48	90000	20200	100	14000000	308
8	c4.2xlarge	64	120000	15150	100	14000000	798
8	c4.2xlarge	64	120000	13482	100	140000000	324
8	c4.2xlarge	64	120000	15408	100	160000000	258
10	c4.2xlarge	80	150000	11556	100	120000000	175
10	c4.2xlarge	80	150000	9630	100	100000000	253
2	c4.2xlarge	16	30000	15150	100	10000000	380
2	c4.2xlarge	16	30000	12600	100	20000000	290
2	c4.2xlarge	16	30000	18000	100	18000000	410
4	c4.2xlarge	32	60000	10100	100	12000000	500
4	c4.2xlarge	32	60000	15150	100	10000000	470
4	c4.2xlarge	32	60000	17675	100	16000000	480
6	c4.2xlarge	48	90000	17675	100	10000000	530
6	c4.2xlarge	48	90000	12600	100	20000000	600
6	c4.2xlarge	48	90000	20200	100	14000000	306
8	c4.2xlarge	64	120000	15150	100	14000000	794
8	c4.2xlarge	64	120000	13482	100	140000000	320
8	c4.2xlarge	64	120000	15408	100	160000000	250
10	c4.2xlarge	80	150000	11556	100	120000000	171
10	c4.2xlarge	80	150000	9630	100	100000000	254
10	c4.2xlarge	80	150000	13482	100	140000000	212
12	c4.2xlarge	96	180000	15408	100	160000000	231
12	c4.2xlarge	96	180000	17334	100	180000000	352
12	c4.2xlarge	96	180000	19260	100	200000000	270
2	c4.2xlarge	16	30000	15150	100	10000000	384
2	c4.2xlarge	16	30000	12600	100	20000000	297
2	c4.2xlarge	16	30000	18000	100	18000000	412
4	c4.2xlarge	32	60000	10100	100	12000000	506
4	c4.2xlarge	32	60000	15150	100	10000000	477
4	c4.2xlarge	32	60000	17675	100	16000000	483
6	c4.2xlarge	48	90000	17675	100	10000000	534
6	c4.2xlarge	48	90000	12600	100	20000000	607
6	c4.2xlarge	48	90000	20200	100	14000000	308
8	c4.2xlarge	64	120000	15150	100	14000000	798
8	c4.2xlarge	64	120000	13482	100	140000000	324
8	c4.2xlarge	64	120000	15408	100	160000000	258
10	c4.2xlarge	80	150000	11556	100	120000000	175
10	c4.2xlarge	80	150000	9630	100	100000000	253
10	c4.2xlarge	80	150000	13482	100	140000000	217
12	c4.2xlarge	96	180000	15408	100	160000000	238
12	c4.2xlarge	96	180000	17334	100	180000000	358
12	c4.2xlarge	96	180000	19260	100	200000000	275
6	c4.2xlarge	48	90000	12600	100	20000000	600
6	c4.2xlarge	48	90000	20200	100	14000000	306
8	c4.2xlarge	64	120000	15150	100	14000000	794
8	c4.2xlarge	64	120000	13482	100	140000000	320
8	c4.2xlarge	64	120000	15408	100	160000000	250
10	c4.2xlarge	80	150000	11556	100	120000000	171
10	c4.2xlarge	80	150000	9630	100	100000000	254
10	c4.2xlarge	80	150000	13482	100	140000000	212
12	c4.2xlarge	96	180000	15408	100	160000000	231
12	c4.2xlarge	96	180000	17334	100	180000000	352
12	c4.2xlarge	96	180000	19260	100	200000000	270
2	c4.2xlarge	16	30000	15150	100	10000000	384
2	c4.2xlarge	16	30000	12600	100	20000000	297
2	c4.2xlarge	16	30000	18000	100	18000000	412
4	c4.2xlarge	32	60000	10100	100	12000000	506
4	c4.2xlarge	32	60000	15150	100	10000000	477
4	c4.2xlarge	32	60000	17675	100	16000000	483
6	c4.2xlarge	48	90000	17675	100	10000000	534
6	c4.2xlarge	48	90000	12600	100	20000000	607
6	c4.2xlarge	48	90000	20200	100	14000000	308
8	c4.2xlarge	64	120000	15150	100	14000000	798
8	c4.2xlarge	64	120000	13482	100	140000000	324
8	c4.2xlarge	64	120000	15408	100	160000000	258
10	c4.2xlarge	80	150000	11556	100	120000000	175
10	c4.2xlarge	80	150000	9630	100	100000000	253
2	c4.2xlarge	16	30000	15150	100	10000000	380
2	c4.2xlarge	16	30000	12600	100	20000000	290
2	c4.2xlarge	16	30000	18000	100	18000000	410
4	c4.2xlarge	32	60000	10100	100	12000000	500
4	c4.2xlarge	32	60000	15150	100	10000000	470
4	c4.2xlarge	32	60000	17675	100	16000000	480
6	c4.2xlarge	48	90000	17675	100	10000000	530
6	c4.2xlarge	48	90000	12600	100	20000000	600
6	c4.2xlarge	48	90000	20200	100	14000000	306
8	c4.2xlarge	64	120000	15150	100	14000000	794
8	c4.2xlarge	64	120000	13482	100	140000000	320
8	c4.2xlarge	64	120000	15408	100	160000000	250
10	c4.2xlarge	80	150000	11556	100	120000000	171
10	c4.2xlarge	80	150000	9630	100	100000000	254
10	c4.2xlarge	80	150000	13482	100	140000000	212
12	c4.2xlarge	96	180000	15408	100	160000000	231
12	c4.2xlarge	96	180000	17334	100	180000000	352
12	c4.2xlarge	96	180000	19260	100	200000000	270
2	c4.2xlarge	16	30000	15150	100	10000000	384
2	c4.2xlarge	16	30000	12600	100	20000000	297
2	c4.2xlarge	16	30000	18000	100	18000000	412
4	c4.2xlarge	32	60000	10100	100	12000000	506
4	c4.2xlarge	32	60000	15150	100	10000000	477
4	c4.2xlarge	32	60000	17675	100	16000000	483
6	c4.2xlarge	48	90000	17675	100	10000000	534
6	c4.2xlarge	48	90000	12600	100	20000000	607
6	c4.2xlarge	48	90000	20200	100	14000000	308
8	c4.2xlarge	64	120000	15150	100	14000000	798
8	c4.2xlarge	64	120000	13482	100	140000000	324
8	c4.2xlarge	64	120000	15408	100	160000000	258
10	c4.2xlarge	80	150000	11556	100	120000000	175
10	c4.2xlarge	80	150000	9630	100	100000000	253
10	c4.2xlarge	80	150000	13482	100	140000000	217
12	c4.2xlarge	96	180000	15408	100	160000000	238
12	c4.2xlarge	96	180000	17334	100	180000000	358
12	c4.2xlarge	96	180000	19260	100	200000000	275
6	c4.2xlarge	48	90000	12600	100	20000000	600
6	c4.2xlarge	48	90000	20200	100	14000000	306
8	c4.2xlarge	64	120000	15150	100	14000000	794
8	c4.2xlarge	64	120000	13482	100	140000000	320
8	c4.2xlarge	64	120000	15408	100	160000000	250
10	c4.2xlarge	80	150000	11556	100	120000000	171
10	c4.2xlarge	80	150000	9630	100	100000000	254
10	c4.2xlarge	80	150000	13482	100	140000000	212
12	c4.2xlarge	96	180000	15408	100	160000000	231
12	c4.2xlarge	96	180000	17334	100	180000000	352
12	c4.2xlarge	96	180000	19260	100	200000000	270
2	c4.2xlarge	16	30000	15150	100	10000000	384
2	c4.2xlarge	16	30000	12600	100	20000000	297
2	c4.2xlarge	16	30000	18000	100	18000000	412
4	c4.2xlarge	32	60000	10100	100	12000000	506
4	c4.2xlarge	32	60000	15150	100	10000000	477
4	c4.2xlarge	32	60000	17675	100	16000000	483
6	c4.2xlarge	48	90000	17675	100	10000000	534
6	c4.2xlarge	48	90000	12600	100	20000000	607
6	c4.2xlarge	48	90000	20200	100	14000000	308
8	c4.2xlarge	64	120000	15150	100	14000000	798
8	c4.2xlarge	64	120000	13482	100	140000000	324
8	c4.2xlarge	64	120000	15408	100	160000000	258
10	c4.2xlarge	80	150000	11556	100	120000000	175
10	c4.2xlarge	80	150000	9630	100	100000000	253
2	c4.2xlarge	16	30000	15150	100	10000000	380
2	c4.2xlarge	16	30000	12600	100	20000000	290
2	c4.2xlarge	16	30000	18000	100	18000000	410
4	c4.2xlarge	32	60000	10100	100	12000000	500
4	c4.2xlarge	32	60000	15150	100	10000000	470
4	c4.2xlarge	32	60000	17675	100	16000000	480
6	c4.2xlarge	48	90000	17675	100	10000000	530
6	c4.2xlarge	48	90000	12600	100	20000000	600
6	c4.2xlarge	48	90000	20200	100	14000000	306
8	c4.2xlarge	64	120000	15150	100	14000000	794
8	c4.2xlarge	64	120000	13482	100	140000000	320
8	c4.2xlarge	64	120000	15408	100	160000000	250
10	c4.2xlarge	80	150000	11556	100	120000000	171
10	c4.2xlarge	80	150000	9630	100	100000000	254
10	c4.2xlarge	80	150000	13482	100	140000000	212
12	c4.2xlarge	96	180000	15408	100	160000000	231
12	c4.2xlarge	96	180000	17334	100	180000000	352
12	c4.2xlarge	96	180000	19260	100	200000000	270
2	c4.2xlarge	16	30000	15150	100	10000000	384
2	c4.2xlarge	16	30000	12600	100	20000000	297
2	c4.2xlarge	16	30000	18000	100	18000000	412
4	c4.2xlarge	32	60000	10100	100	12000000	506
4	c4.2xlarge	32	60000	15150	100	10000000	477
4	c4.2xlarge	32	60000	17675	100	16000000	483
6	c4.2xlarge	48	90000	17675	100	10000000	534
6	c4.2xlarge	48	90000	12600	100	20000000	607
6	c4.2xlarge	48	90000	20200	100	14000000	308
8	c4.2xlarge	64	120000	15150	100	14000000	798
8	c4.2xlarge	64	120000	13482	100	140000000	324
8	c4.2xlarge	64	120000	15408	100	160000000	258
10	c4.2xlarge	80	150000	11556	100	120000000	175
10	c4.2xlarge	80	150000	9630	100	100000000	253
10	c4.2xlarge	80	150000	13482	100	140000000	217
12	c4.2xlarge	96	180000	15408	100	160000000	238
12	c4.2xlarge	96	180000	17334	100	180000000	358
12	c4.2xlarge	96	180000	19260	100	200000000	275
6	c4.2xlarge	48	90000	12600	100	20000000	600
6	c4.2xlarge	48	90000	20200	100	14000000	306
8	c4.2xlarge	64	120000	15150	100	14000000	794
8	c4.2xlarge	64	120000	13482	100	140000000	320
8	c4.2xlarge	64	120000	15408	100	160000000	250
10	c4.2xlarge	80	150000	11556	100	120000000	171
10	c4.2xlarge	80	150000	9630	100	100000000	254
10	c4.2xlarge	80	150000	13482	100	140000000	212
12	c4.2xlarge	96	180000	15408	100	160000000	231
12	c4.2xlarge	96	180000	17334	100	180000000	352
12	c4.2xlarge	96	180000	19260	100	200000000	270
2	c4.2xlarge	16	30000	15150	100	10000000	384
2	c4.2xlarge	16	30000	12600	100	20000000	297
2	c4.2xlarge	16	30000	18000	100	18000000	412
4	c4.2xlarge	32	60000	10100	100	12000000	506
4	c4.2xlarge	32	60000	15150	100	10000000	477
4	c4.2xlarge	32	60000	17675	100	16000000	483
6	c4.2xlarge	48	90000	17675	100	10000000	534
6	c4.2xlarge	48	90000	12600	100	20000000	607
6	c4.2xlarge	48	90000	20200	100	14000000	308
8	c4.2xlarge	64	120000	15150	100	14000000	798
8	c4.2xlarge	64	120000	13482	100	140000000	324
8	c4.2xlarge	64	120000	15408	100	160000000	258
10	c4.2xlarge	80	150000	11556	100	120000000	175
10	c4.2xlarge	80	150000	9630	100	100000000	253
